epochs,d_hidden,wd,noise_std,kernel_size,final_train_acc,final_val_acc
10,128,1.0,0.25,7,0.9884327855603449,0.9855999946594238
20,64,0.0,0.5,7,0.976141567887931,0.9855999946594238
20,128,0.5,0.0,14,0.9968851023706896,0.9854999780654907
10,128,0.5,0.0,7,0.9933155980603449,0.9854999780654907
20,128,0.5,0.0,7,0.9985014816810345,0.9853999614715576
10,128,0.0,0.0,7,0.99365234375,0.9853999614715576
10,128,0.1,0.0,7,0.9936186691810345,0.9853999614715576
10,128,1.0,0.0,7,0.9927768049568966,0.9853999614715576
20,64,0.1,0.5,7,0.9761078933189655,0.9853999614715576
20,64,1.0,0.5,14,0.97607421875,0.9853999614715576
20,64,0.5,0.5,7,0.9760573814655172,0.9853999614715576
20,256,0.5,0.0,7,0.999579067887931,0.9853000044822693
20,128,1.0,0.5,7,0.9771518049568966,0.9853000044822693
20,128,0.1,0.0,7,0.9989729256465517,0.9851999878883362
20,64,0.0,0.0,14,0.994140625,0.9851999878883362
20,64,0.1,0.0,14,0.9939722521551724,0.9851999878883362
20,128,0.0,0.5,7,0.9772528286637931,0.9851999878883362
20,128,0.5,0.5,7,0.9770844558189655,0.9851999878883362
20,64,0.0,0.25,5,0.9899818157327587,0.9850999712944031
10,128,0.5,0.25,14,0.9866480334051724,0.9850999712944031
20,128,0.1,0.5,7,0.9771518049568966,0.9850999712944031
10,128,0.0,0.5,14,0.9746262122844828,0.9850999712944031
20,256,0.1,0.0,7,0.9997474407327587,0.98499995470047
20,128,0.0,0.0,7,0.9990234375,0.98499995470047
20,128,1.0,0.0,5,0.9970534752155172,0.98499995470047
20,64,1.0,0.0,14,0.9924568965517241,0.98499995470047
10,128,0.0,0.25,14,0.987237338362069,0.98499995470047
10,128,0.1,0.25,14,0.9872205010775862,0.98499995470047
10,128,1.0,0.25,14,0.9860418911637931,0.98499995470047
20,64,1.0,0.5,7,0.9753670528017241,0.98499995470047
10,128,0.1,0.5,14,0.974609375,0.98499995470047
20,256,0.0,0.0,7,0.9997474407327587,0.9848999977111816
20,64,1.0,0.0,7,0.994561557112069,0.9848999977111816
10,64,0.0,0.0,7,0.9899986530172413,0.9848999977111816
10,64,0.1,0.0,7,0.9898976293103449,0.9848999977111816
20,64,0.1,0.25,5,0.9898976293103449,0.9848999977111816
10,256,0.5,0.0,5,0.9958075161637931,0.9847999811172485
20,64,0.5,0.0,7,0.9954707704741379,0.9847999811172485
10,256,1.0,0.0,14,0.994073275862069,0.9847999811172485
10,256,0.0,0.25,5,0.9910257273706896,0.9847999811172485
10,64,0.5,0.0,7,0.9893756734913793,0.9847999811172485
10,64,0.5,0.25,7,0.9849643049568966,0.9847999811172485
10,256,1.0,0.5,7,0.9752997036637931,0.9847999811172485
10,256,0.5,0.5,7,0.9751144935344828,0.9847999811172485
10,256,0.1,0.5,7,0.9748956088362069,0.9847999811172485
10,256,0.0,0.5,7,0.9748282596982759,0.9847999811172485
20,128,0.5,0.0,5,0.9978616648706896,0.9846999645233154
10,256,1.0,0.25,5,0.9903353987068966,0.9846999645233154
10,64,1.0,0.0,7,0.98876953125,0.9846999645233154
20,64,1.0,0.25,5,0.9885338092672413,0.9846999645233154
10,64,0.0,0.25,7,0.985418911637931,0.9846999645233154
5,256,0.1,0.25,14,0.9846949084051724,0.9846999645233154
10,64,1.0,0.25,7,0.9845433728448276,0.9846999645233154
20,256,1.0,0.0,14,0.9984509698275862,0.9845999479293823
20,128,0.1,0.0,14,0.9975417564655172,0.9845999479293823
20,64,0.0,0.0,7,0.9964473329741379,0.9845999479293823
10,256,1.0,0.0,5,0.9952182112068966,0.9845999479293823
10,128,1.0,0.0,5,0.9918507543103449,0.9845999479293823
10,256,0.1,0.25,5,0.9908741918103449,0.9845999479293823
5,256,0.5,0.0,14,0.9876077586206896,0.9845999479293823
10,64,0.1,0.25,7,0.9854020743534483,0.9845999479293823
5,256,0.0,0.25,14,0.9847117456896551,0.9845999479293823
10,128,0.5,0.5,14,0.9745757004310345,0.9845999479293823
20,256,0.0,0.0,14,0.9992759967672413,0.984499990940094
20,256,0.1,0.0,14,0.9991749730603449,0.984499990940094
20,128,0.0,0.0,14,0.9977943157327587,0.984499990940094
20,64,0.1,0.0,7,0.9962957974137931,0.984499990940094
10,256,0.0,0.0,14,0.9952350484913793,0.984499990940094
10,256,0.5,0.25,5,0.99072265625,0.984499990940094
5,256,0.0,0.0,14,0.9881802262931034,0.984499990940094
5,256,0.1,0.0,14,0.9880960398706896,0.984499990940094
10,128,1.0,0.5,14,0.97412109375,0.984499990940094
20,256,0.5,0.0,14,0.9990234375,0.9843999743461609
20,64,0.1,0.0,5,0.9959422144396551,0.9843999743461609
10,256,0.1,0.0,14,0.995049838362069,0.9843999743461609
20,64,0.5,0.0,5,0.9949488146551724,0.9843999743461609
10,256,0.5,0.0,14,0.99462890625,0.9843999743461609
10,128,0.1,0.0,14,0.9911941002155172,0.9843999743461609
20,64,0.5,0.25,5,0.9891062769396551,0.9843999743461609
10,128,0.0,0.25,5,0.9885843211206896,0.9843999743461609
10,128,0.1,0.25,5,0.9885169719827587,0.9843999743461609
5,256,0.5,0.25,14,0.9845265355603449,0.9843999743461609
5,256,1.0,0.25,14,0.9841729525862069,0.9843999743461609
20,64,0.0,0.0,5,0.9962621228448276,0.9842999577522278
20,64,1.0,0.0,5,0.9938038793103449,0.9842999577522278
10,128,0.5,0.0,5,0.9924232219827587,0.9842999577522278
10,128,0.0,0.0,14,0.9912277747844828,0.9842999577522278
10,128,0.5,0.0,14,0.9906721443965517,0.9842999577522278
10,128,1.0,0.0,14,0.9901165140086207,0.9842999577522278
5,256,1.0,0.0,14,0.9872541756465517,0.9842999577522278
20,256,0.1,0.0,5,0.9996632543103449,0.9842000007629395
20,256,1.0,0.0,5,0.9991244612068966,0.9842000007629395
10,256,0.1,0.0,5,0.9964136584051724,0.9842000007629395
5,256,0.5,0.25,7,0.9864964978448276,0.9842000007629395
5,256,1.0,0.25,7,0.9862439385775862,0.9842000007629395
10,64,0.5,0.25,14,0.9828091325431034,0.9842000007629395
10,128,0.1,0.5,7,0.9745925377155172,0.9842000007629395
10,128,0.0,0.5,7,0.9744746767241379,0.9842000007629395
20,256,1.0,0.5,5,0.9740032327586207,0.9842000007629395
20,256,0.5,0.5,5,0.9737843480603449,0.9842000007629395
20,128,0.5,0.5,5,0.9735149515086207,0.9842000007629395
20,128,0.0,0.5,5,0.9733634159482759,0.9842000007629395
20,256,0.5,0.0,5,0.9995453933189655,0.9840999841690063
10,256,0.0,0.0,5,0.9965651939655172,0.9840999841690063
10,128,0.5,0.25,5,0.9881128771551724,0.9840999841690063
10,64,0.0,0.0,14,0.9869679418103449,0.9840999841690063
10,64,0.1,0.0,14,0.9868500808189655,0.9840999841690063
5,256,0.0,0.25,7,0.9867995689655172,0.9840999841690063
5,256,0.1,0.25,7,0.986749057112069,0.9840999841690063
10,64,0.5,0.0,14,0.9862776131465517,0.9840999841690063
10,64,0.0,0.25,14,0.9834994612068966,0.9840999841690063
10,64,0.1,0.25,14,0.9832132273706896,0.9840999841690063
10,128,0.5,0.5,7,0.9744073275862069,0.9840999841690063
20,128,0.1,0.5,5,0.9733634159482759,0.9840999841690063
20,256,0.0,0.0,5,0.9997306034482759,0.9839999675750732
5,256,0.0,0.0,7,0.990655307112069,0.9839999675750732
5,256,0.1,0.0,7,0.9905879579741379,0.9839999675750732
20,128,0.0,0.0,5,0.9988719019396551,0.9838999509811401
20,128,0.1,0.0,5,0.9987372036637931,0.9838999509811401
5,256,0.5,0.0,7,0.9902848868534483,0.9838999509811401
20,256,0.1,0.5,5,0.9733297413793104,0.9838999509811401
5,256,1.0,0.0,7,0.989813442887931,0.9837999939918518
10,128,1.0,0.25,5,0.9876245959051724,0.9837999939918518
10,64,1.0,0.0,14,0.9858230064655172,0.9837999939918518
10,128,1.0,0.5,7,0.9740032327586207,0.9837999939918518
20,128,1.0,0.5,5,0.9735149515086207,0.9837999939918518
10,128,0.0,0.0,5,0.9931135506465517,0.9836999773979187
10,128,0.1,0.0,5,0.9929956896551724,0.9836999773979187
10,64,1.0,0.25,14,0.9821524784482759,0.9836999773979187
20,256,0.0,0.5,5,0.9732792295258621,0.9836999773979187
20,64,0.1,0.5,5,0.972235317887931,0.9836999773979187
20,64,0.0,0.5,5,0.9721342941810345,0.9836999773979187
10,256,0.5,0.5,5,0.9715449892241379,0.9836999773979187
10,256,0.1,0.5,5,0.9711745689655172,0.9836999773979187
10,256,0.0,0.5,5,0.9710567079741379,0.9836999773979187
10,64,0.1,0.5,7,0.9715955010775862,0.9835999608039856
10,64,1.0,0.5,7,0.9712082435344828,0.9835999608039856
10,64,0.0,0.0,5,0.9889547413793104,0.9835000038146973
10,64,0.1,0.0,5,0.9888032058189655,0.9835000038146973
10,64,0.5,0.0,5,0.9882644127155172,0.9835000038146973
20,64,0.5,0.5,5,0.9718985721982759,0.9835000038146973
20,64,1.0,0.5,5,0.9717807112068966,0.9835000038146973
10,64,0.0,0.5,7,0.9716291756465517,0.9835000038146973
10,64,0.5,0.5,7,0.9714271282327587,0.9835000038146973
5,256,1.0,0.5,7,0.9711577316810345,0.9835000038146973
5,256,0.5,0.5,7,0.9711072198275862,0.9835000038146973
10,256,1.0,0.5,5,0.9713597790948276,0.983299970626831
5,256,0.0,0.5,7,0.9709893588362069,0.983299970626831
5,256,0.1,0.5,7,0.9709893588362069,0.983299970626831
10,64,0.0,0.5,14,0.9706862877155172,0.983299970626831
10,64,0.1,0.5,14,0.9706021012931034,0.983199954032898
5,256,1.0,0.0,5,0.9889715786637931,0.9830999970436096
10,64,1.0,0.0,5,0.9874730603448276,0.9830999970436096
5,256,0.0,0.5,14,0.9724036907327587,0.9830999970436096
5,256,0.1,0.5,14,0.9723700161637931,0.9830999970436096
10,128,0.0,0.5,5,0.9712250808189655,0.9830999970436096
10,64,0.0,0.25,5,0.9848969558189655,0.9828999638557434
5,256,0.5,0.0,5,0.9895440463362069,0.9827999472618103
20,256,0.0,0.25,3,0.9886179956896551,0.9827999472618103
20,256,0.5,0.25,3,0.9881633890086207,0.9827999472618103
5,256,0.0,0.25,5,0.9856377963362069,0.9827999472618103
5,256,0.1,0.25,5,0.9855704471982759,0.9827999472618103
5,256,0.5,0.25,5,0.9853515625,0.9827999472618103
10,64,0.1,0.25,5,0.9847117456896551,0.9827999472618103
10,64,0.5,0.25,5,0.9842234644396551,0.9827999472618103
5,128,0.0,0.25,7,0.9829606681034483,0.9827999472618103
5,256,0.5,0.5,14,0.9721174568965517,0.9827999472618103
10,128,0.1,0.5,5,0.9712082435344828,0.9827999472618103
10,64,0.5,0.5,14,0.9702485183189655,0.9827999472618103
5,256,0.1,0.0,5,0.9899818157327587,0.982699990272522
20,256,0.1,0.25,3,0.9884664601293104,0.982699990272522
5,128,0.1,0.25,7,0.9828596443965517,0.982699990272522
5,128,0.0,0.25,14,0.979071255387931,0.982699990272522
5,128,0.1,0.25,14,0.9790207435344828,0.982699990272522
5,256,1.0,0.5,14,0.971612338362069,0.982699990272522
10,128,1.0,0.5,5,0.971258755387931,0.982699990272522
5,256,0.0,0.0,5,0.9900491648706896,0.9825999736785889
5,128,0.0,0.0,7,0.9860924030172413,0.9825999736785889
5,128,0.1,0.0,7,0.9859745420258621,0.9825999736785889
10,64,1.0,0.25,5,0.9835162984913793,0.9825999736785889
5,128,0.0,0.0,14,0.9824387122844828,0.9825999736785889
5,128,0.1,0.0,14,0.9823882004310345,0.9825999736785889
5,128,0.5,0.0,14,0.9818830818965517,0.9825999736785889
5,128,0.5,0.25,14,0.9787850215517241,0.9825999736785889
10,128,0.5,0.5,5,0.9713092672413793,0.9825999736785889
5,128,0.5,0.25,7,0.9825902478448276,0.9824999570846558
5,128,0.5,0.0,7,0.9856041217672413,0.9824000000953674
5,256,1.0,0.25,5,0.9849979795258621,0.9824000000953674
10,64,1.0,0.5,14,0.9698107489224138,0.9822999835014343
20,256,1.0,0.25,3,0.9877087823275862,0.9821999669075012
5,128,1.0,0.25,7,0.9822029903017241,0.9821999669075012
5,128,1.0,0.25,14,0.9783472521551724,0.9821999669075012
5,128,0.5,0.0,5,0.9850484913793104,0.9820999503135681
5,128,0.0,0.0,5,0.985418911637931,0.9819999933242798
5,128,0.1,0.0,5,0.9853178879310345,0.9819999933242798
5,128,1.0,0.0,14,0.9815800107758621,0.9819999933242798
5,128,0.0,0.5,7,0.9690867456896551,0.9819999933242798
5,128,0.1,0.5,7,0.9690699084051724,0.9819999933242798
5,128,0.5,0.5,7,0.9688678609913793,0.9819999933242798
20,128,0.0,0.25,3,0.9873551993534483,0.9818999767303467
5,128,1.0,0.0,7,0.9853852370689655,0.9818999767303467
20,128,0.1,0.25,3,0.9872541756465517,0.9817999601364136
5,128,1.0,0.0,5,0.9846612338362069,0.9817999601364136
5,128,1.0,0.5,7,0.9686489762931034,0.9817000031471252
5,256,0.5,0.5,5,0.9664769665948276,0.9817000031471252
5,256,1.0,0.5,5,0.9664601293103449,0.9815999865531921
5,256,0.1,0.5,5,0.9662075700431034,0.981499969959259
20,128,0.5,0.25,3,0.9864964978448276,0.9813999533653259
5,256,0.0,0.5,5,0.9661402209051724,0.9813999533653259
5,128,0.0,0.5,14,0.9664432920258621,0.9812999963760376
5,128,0.1,0.5,14,0.9663591056034483,0.9812999963760376
20,128,1.0,0.25,3,0.9855872844827587,0.9810999631881714
10,256,0.1,0.25,3,0.9842908135775862,0.9810999631881714
20,256,1.0,0.0,3,0.9972386853448276,0.9809999465942383
10,256,0.0,0.25,3,0.9844255118534483,0.9809999465942383
10,64,0.5,0.5,5,0.968817349137931,0.9809999465942383
10,64,1.0,0.5,5,0.9685142780172413,0.9809999465942383
20,64,0.0,0.25,3,0.9854020743534483,0.98089998960495
20,64,0.5,0.25,3,0.9843918372844828,0.98089998960495
5,128,0.0,0.25,5,0.9816305226293104,0.98089998960495
5,128,0.1,0.25,5,0.9815463362068966,0.98089998960495
5,64,1.0,0.0,7,0.9805697737068966,0.98089998960495
5,64,1.0,0.25,7,0.9773033405172413,0.98089998960495
10,64,0.0,0.5,5,0.9692046066810345,0.98089998960495
20,64,0.1,0.25,3,0.9852000269396551,0.9807999730110168
10,256,0.5,0.25,3,0.9837856950431034,0.9807999730110168
5,128,0.5,0.25,5,0.9813948006465517,0.9807999730110168
5,128,1.0,0.25,5,0.9812937769396551,0.9807999730110168
5,64,0.5,0.0,7,0.9808560075431034,0.9807999730110168
10,64,0.1,0.5,5,0.9692046066810345,0.9807999730110168
5,128,0.5,0.5,14,0.9661570581896551,0.9807999730110168
20,256,0.1,0.0,3,0.9990066002155172,0.9806999564170837
5,64,0.5,0.25,7,0.9776737607758621,0.9806999564170837
20,256,0.0,0.0,3,0.9992254849137931,0.9805999994277954
10,256,0.5,0.0,3,0.9923221982758621,0.9805999994277954
20,64,0.5,0.0,3,0.9921706627155172,0.9805999994277954
10,128,0.0,0.0,3,0.9887526939655172,0.9805999994277954
10,128,0.1,0.0,3,0.9885843211206896,0.9805999994277954
5,128,1.0,0.5,14,0.9658708243534483,0.9805999994277954
20,256,0.5,0.0,3,0.9982320851293104,0.9804999828338623
10,256,0.0,0.0,3,0.9934502963362069,0.9804999828338623
20,64,0.1,0.0,3,0.9934502963362069,0.9804999828338623
10,256,0.1,0.0,3,0.9932819234913793,0.9804999828338623
20,64,1.0,0.25,3,0.9833984375,0.9804999828338623
5,64,0.1,0.0,7,0.9810580549568966,0.9804999828338623
5,64,0.0,0.0,7,0.981024380387931,0.9804999828338623
5,64,0.1,0.5,7,0.9650794719827587,0.9804999828338623
5,64,0.0,0.5,7,0.9650626346982759,0.9804999828338623
20,128,0.1,0.0,3,0.9967672413793104,0.9803999662399292
20,128,1.0,0.0,3,0.9939049030172413,0.9803999662399292
10,256,1.0,0.0,3,0.9913456357758621,0.9803999662399292
5,64,0.0,0.25,7,0.9779768318965517,0.9803999662399292
5,64,0.1,0.25,7,0.9778252963362069,0.9803999662399292
20,128,0.0,0.0,3,0.997002963362069,0.9802999496459961
20,64,0.0,0.0,3,0.993719692887931,0.9802999496459961
10,256,1.0,0.25,3,0.983331088362069,0.9802999496459961
20,128,0.5,0.0,3,0.9954707704741379,0.9800999760627747
10,128,0.5,0.0,3,0.9877592941810345,0.9800999760627747
20,64,1.0,0.0,3,0.9905206088362069,0.9799999594688416
10,128,0.0,0.25,3,0.9820851293103449,0.9799999594688416
10,128,0.1,0.25,3,0.98193359375,0.9799999594688416
5,128,0.0,0.5,5,0.9656182650862069,0.9799999594688416
5,128,0.1,0.5,5,0.9656182650862069,0.9799999594688416
5,128,0.5,0.5,5,0.9656351023706896,0.9799000024795532
5,64,0.5,0.5,7,0.9650121228448276,0.9797999858856201
5,128,1.0,0.5,5,0.9656351023706896,0.979699969291687
5,64,1.0,0.5,7,0.9648100754310345,0.9794999957084656
10,128,1.0,0.0,3,0.986883755387931,0.9792999625205994
10,128,0.5,0.25,3,0.9813611260775862,0.9790999889373779
5,64,0.0,0.25,14,0.972723599137931,0.9786999821662903
5,64,0.1,0.25,14,0.9726225754310345,0.9785999655723572
5,64,0.5,0.25,14,0.9721511314655172,0.9782999753952026
10,64,0.0,0.0,3,0.9846949084051724,0.9781999588012695
10,64,0.1,0.0,3,0.9844928609913793,0.9781999588012695
10,128,1.0,0.25,3,0.9807213092672413,0.9781999588012695
5,64,0.0,0.25,5,0.9765288254310345,0.9779999852180481
5,64,0.1,0.25,5,0.9765288254310345,0.9779999852180481
5,64,1.0,0.25,14,0.9718480603448276,0.9779999852180481
5,64,0.0,0.0,5,0.980047817887931,0.977899968624115
5,64,0.1,0.0,5,0.9799973060344828,0.977899968624115
5,64,1.0,0.25,5,0.9758890086206896,0.977899968624115
5,64,1.0,0.0,5,0.97900390625,0.9777999520301819
5,64,0.5,0.25,5,0.9763099407327587,0.9777999520301819
10,64,0.5,0.0,3,0.9837183459051724,0.9776999950408936
5,64,0.5,0.0,5,0.9795426993534483,0.9776999950408936
5,64,0.0,0.0,14,0.9757711476293104,0.9776999950408936
5,64,0.1,0.0,14,0.9756364493534483,0.9776999950408936
5,64,1.0,0.0,14,0.9749461206896551,0.9776999950408936
20,256,0.0,0.5,3,0.9570817618534483,0.9776999950408936
5,64,0.5,0.0,14,0.9754344019396551,0.9775999784469604
5,64,0.0,0.5,14,0.96044921875,0.9774999618530273
20,256,0.1,0.5,3,0.9574016702586207,0.977400004863739
20,128,0.0,0.5,3,0.9569302262931034,0.977400004863739
5,256,0.0,0.0,3,0.9847790948275862,0.9772999882698059
5,64,0.1,0.5,14,0.960381869612069,0.9772999882698059
5,256,0.1,0.0,3,0.9846443965517241,0.9771999716758728
5,256,0.5,0.0,3,0.9842234644396551,0.9771999716758728
20,128,0.1,0.5,3,0.957098599137931,0.9771999716758728
10,64,0.0,0.25,3,0.9786839978448276,0.9770999550819397
5,64,0.5,0.5,14,0.9600114493534483,0.9770999550819397
20,256,0.5,0.5,3,0.9581256734913793,0.9770999550819397
10,64,0.1,0.25,3,0.9785998114224138,0.9768999814987183
5,64,1.0,0.5,14,0.9596073545258621,0.9768999814987183
10,64,1.0,0.0,3,0.9825565732758621,0.976699948310852
5,64,0.0,0.5,5,0.9632947198275862,0.976699948310852
5,256,0.0,0.25,3,0.9777242726293104,0.9765999913215637
5,64,0.1,0.5,5,0.963311557112069,0.9765999913215637
20,128,0.5,0.5,3,0.9574858566810345,0.9765999913215637
20,64,0.0,0.5,3,0.9567955280172413,0.9765999913215637
5,256,1.0,0.0,3,0.9835836476293104,0.9764999747276306
5,256,0.1,0.25,3,0.9775727370689655,0.9764999747276306
5,64,0.5,0.5,5,0.9631431842672413,0.9764999747276306
5,64,1.0,0.5,5,0.9626717403017241,0.9764999747276306
20,256,1.0,0.5,3,0.9581256734913793,0.9763999581336975
20,64,0.1,0.5,3,0.9568965517241379,0.9763000011444092
5,256,0.5,0.25,3,0.977118130387931,0.9761999845504761
20,128,1.0,0.5,3,0.957586880387931,0.976099967956543
10,64,0.5,0.25,3,0.9780610183189655,0.9758999943733215
5,256,1.0,0.25,3,0.976495150862069,0.9757999777793884
10,256,0.0,0.5,3,0.9540678879310345,0.9757999777793884
20,64,0.5,0.5,3,0.9573006465517241,0.9756999611854553
10,256,0.1,0.5,3,0.954168911637931,0.9756999611854553
20,64,1.0,0.5,3,0.9570144127155172,0.9753999710083008
